370, {'net_id': 'net_evo16_crossover83', 'acc1': 79.0640000390625, 'acc5': 94.25200000976562, 'flops': 372.34824, 'resolution': 224, 'width': [16, 16, 24, 32, 64, 112, 200, 216, 1792], 'kernel_size': [3, 3, 3, 3, 3, 3, 3], 'expand_ratio': [1, 4, 4, 4, 4, 6, 6], 'depth': [1, 3, 6, 3, 4, 5, 1]}

380, {'net_id': 'net_evo18_crossover100', 'acc1': 79.126, 'acc5': 94.274, 'flops': 377.132416, 'resolution': 224, 'width': [16, 16, 24, 32, 64, 112, 200, 216, 1792], 'kernel_size': [3, 3, 3, 5, 3, 3, 3], 'expand_ratio': [1, 4, 4, 4, 4, 6, 6], 'depth': [1, 3, 3, 3, 4, 6, 1]}

390, {'net_id': 'net_evo14_crossover79', 'acc1': 79.22, 'acc5': 94.34800001953126, 'flops': 392.907856, 'resolution': 224, 'width': [16, 16, 24, 32, 64, 112, 200, 216, 1792], 'kernel_size': [3, 3, 3, 3, 3, 3, 3], 'expand_ratio': [1, 4, 4, 4, 4, 6, 6], 'depth': [1, 3, 6, 3, 5, 5, 1]}

400, {'net_id': 'net_evo16_crossover10', 'acc1': 79.21000000000001, 'acc5': 94.34000000976562, 'flops': 404.408224, 'resolution': 224, 'width': [16, 16, 24, 32, 72, 112, 192, 216, 1792], 'kernel_size': [3, 3, 3, 5, 3, 3, 3], 'expand_ratio': [1, 4, 6, 4, 4, 6, 6], 'depth': [1, 3, 3, 3, 5, 6, 1]}

410, {'net_id': 'net_evo16_crossover65', 'acc1': 79.3, 'acc5': 94.27600000976562, 'flops': 410.773984, 'resolution': 224, 'width': [16, 16, 24, 32, 64, 112, 208, 216, 1792], 'kernel_size': [5, 3, 3, 3, 3, 3, 3], 'expand_ratio': [1, 4, 4, 4, 4, 6, 6], 'depth': [1, 3, 3, 3, 5, 6, 1]}

420, {'net_id': 'net_evo12_crossover81', 'acc1': 79.306, 'acc5': 94.31000001953124, 'flops': 422.924768, 'resolution': 224, 'width': [16, 16, 24, 32, 64, 112, 208, 216, 1792], 'kernel_size': [3, 3, 5, 5, 3, 3, 3], 'expand_ratio': [1, 4, 4, 4, 4, 6, 6], 'depth': [1, 3, 4, 3, 5, 6, 1]}

430, {'net_id': 'net_evo16_crossover6', 'acc1': 79.404, 'acc5': 94.356, 'flops': 432.868704, 'resolution': 224, 'width': [16, 16, 24, 32, 72, 112, 208, 216, 1792], 'kernel_size': [3, 3, 3, 5, 3, 3, 3], 'expand_ratio': [1, 4, 6, 4, 4, 6, 6], 'depth': [2, 3, 3, 3, 5, 6, 1]}

440, {'net_id': 'net_evo15_crossover8', 'acc1': 79.47, 'acc5': 94.34800001953126, 'flops': 443.158496, 'resolution': 224, 'width': [16, 16, 24, 32, 72, 112, 208, 216, 1792], 'kernel_size': [5, 3, 3, 3, 3, 3, 3], 'expand_ratio': [1, 4, 5, 4, 4, 6, 6], 'depth': [1, 3, 3, 3, 6, 6, 1]}

450, {'net_id': 'net_evo14_crossover59', 'acc1': 79.4440000390625, 'acc5': 94.398, 'flops': 447.25424, 'resolution': 224, 'width': [16, 16, 24, 32, 64, 112, 208, 216, 1792], 'kernel_size': [3, 3, 5, 3, 3, 3, 3], 'expand_ratio': [1, 4, 6, 4, 4, 6, 6], 'depth': [1, 3, 3, 3, 6, 6, 1]}

460, {'net_id': 'net_evo18_crossover90', 'acc1': 79.53, 'acc5': 94.39800002929688, 'flops': 464.19888, 'resolution': 224, 'width': [16, 16, 24, 32, 64, 112, 208, 216, 1792], 'kernel_size': [3, 3, 3, 5, 3, 3, 3], 'expand_ratio': [1, 5, 5, 5, 4, 6, 6], 'depth': [1, 3, 4, 3, 6, 6, 1]}

